ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,7,0.0,2,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,8,0.0,2,3999,1.0,1,1.0,none
0.99975,0.6666666666666666,0.5,0,0.0,1,0.00025006251562890725,0.7071067811865476,0.7070183652085607,Poisson,200,1,20,1,1.0,100,0.5,8,0.7811659943153093,2,3998,0.9997499374843711,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,8,0.0,2,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,9,0.0,2,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,9,0.0,2,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,9,0.0,2,3999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,10,,2,0,,0,,none
0.9995,,1.0,1,1.0,1,0.00025006251562890725,0.0,-0.00025006251562890725,Poisson,200,1,20,1,0.9997499374843711,100,0.0,10,,2,3998,0.9997499374843711,0,0.0,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,10,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,1,0.0,4,3959,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,1,0.0,4,3959,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,1,0.0,4,3959,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,2,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,2,0.0,4,3979,1.0,1,1.0,none
0.9987437185929648,0.2857142857142857,0.8333333333333334,0,0.0,5,0.0012565971349585323,0.408248290463863,0.40799170801725887,Binomial,200,1,20,1,1.0,100,0.16666666666666666,2,0.06401042467060185,4,3974,0.9987434028650415,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,3,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,3,0.0,4,3979,1.0,1,1.0,none
0.9954773869346734,0.1,0.9473684210526315,0,0.0,18,0.004523749685850716,0.22941573387056177,0.22889623600802053,Binomial,200,1,20,1,1.0,100,0.05263157894736842,3,0.17986226271988115,4,3961,0.9954762503141493,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,4,0.0,4,3999,1.0,1,1.0,none
0.99975,0.6666666666666666,0.5,0,0.0,1,0.00025006251562890725,0.7071067811865476,0.7070183652085607,Poisson,200,1,20,1,1.0,100,0.5,4,0.8515673657342232,4,3998,0.9997499374843711,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,4,0.0,4,3999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,5,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,5,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,5,0.0,4,3979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,6,,4,0,,0,,none
0.9995,,1.0,1,1.0,1,0.00025006251562890725,0.0,-0.00025006251562890725,Poisson,200,1,20,1,0.9997499374843711,100,0.0,6,,4,3998,0.9997499374843711,0,0.0,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,6,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,7,0.0,4,3939,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,7,0.0,4,3939,1.0,1,1.0,none
0.9733502538071066,0.018691588785046728,0.9905660377358491,0,0.0,105,0.026656511805026657,0.09712858623572641,0.09582528756903591,Binomial,200,1,20,1,1.0,100,0.009433962264150943,7,0.4031216792853951,4,3834,0.9733434881949733,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,8,,4,0,,0,,none
0.9992462311557789,,1.0,1,1.0,2,0.0005026388539834129,0.0,-0.0003554640124522747,Poisson,200,1,20,1,0.9997486173956762,100,0.0,8,,4,3977,0.9994973611460166,0,0.0,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,8,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,9,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,9,0.0,4,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,9,0.0,4,3979,1.0,1,1.0,none
