NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	Normal	blom	22	1.0	1757184154.45	1.12050244644	-2.03754960153	2.06430080157	0.0248704671638	0.0049915036219
226	Normal	blom	23	1.0	180144070.513	1.1647302699	-2.01396374357	2.06473222816	0.0266700663225	0.00698893624849
226	Normal	blom	24	1.0	852810230.53	1.17845853381	-2.00620092018	2.06380160044	0.0246493994023	0.00432826796734
226	Normal	blom	25	1.0	612431274.967	1.09533024638	-2.0521790687	2.0651897665	0.01914746055	0.00643942403755
226	Normal	blom	26	0.00476058878039	870866204.622	1.13906688541	-2.02801668168	2.07641387507	0.000688340150475	-0.00105555006984
226	Normal	blom	27	1.0	12705998298.4	1.11827241055	-2.03836354324	2.06962986161	0.0199424139431	0.000123521237042
226	Normal	blom	28	1.0	83579396.959	1.09777896351	-2.041650349	2.05993516124	0.0279869072505	0.00848797732918
226	Normal	blom	29	1.0	729457544.572	1.14853199587	-2.01624753558	2.06338985228	0.0160044216831	0.0065667857931
226	Normal	blom	3	1.0	3247496478.92	1.17561775058	-1.99341663653	2.06860219822	0.0218953581273	0.00062221695557
226	Normal	blom	30	1.0	56445832.3211	1.21646026713	-1.97030098556	2.06547205728	0.0164166086232	0.00334336818069
226	Normal	blom	31	1.0	1186562298.07	1.17914503191	-2.00016212016	2.0709463714	0.0212486528204	-0.00103298756546
226	Normal	blom	32	1.0	3549591814.27	1.1960403927	-1.98483820952	2.06266072935	0.0233498866319	0.00994257078737
226	Normal	blom	33	1.0	677437318.367	1.20404443482	-1.9920900535	2.0662480812	0.0245075654947	0.00437191548374
226	Normal	blom	34	1.0	477407151.081	1.18314051531	-1.99711501062	2.06568688501	0.0195857033444	0.00475874771808
226	Normal	blom	35	1.0	157638412.289	1.11010403419	-2.04194739701	2.07333701832	0.0148107608217	-0.00246088737896
226	Normal	blom	36	1.0	880444334.292	1.14890989838	-2.02489016508	2.0676671817	0.0200301667769	0.0021389727013
226	Normal	blom	37	1.0	421248566.225	1.25594337999	-1.95808397583	2.06627333079	0.0243752615782	0.00486926776005
226	Normal	blom	38	1.0	302468273.305	1.18761919401	-1.9885832785	2.06644164308	0.0147125673083	0.00712478762392
226	Normal	blom	39	1.0	697610298.875	1.11770162321	-2.03701596438	2.06616867344	0.0226301178346	0.00696696974801
226	Normal	blom	4	1.0	253113648.657	1.1653829954	-2.02098413397	2.06644569771	0.0249133303443	0.00371192184261
226	Normal	blom	40	1.0	201849985.81	1.08922061605	-2.05034594208	2.06341235004	0.0225543641629	0.00682362317273
226	Normal	blom	41	1.0	39854523.7033	1.11233209444	-2.05564511691	2.07248993855	0.0263638882896	0.00555486421545
226	Normal	blom	42	1.0	880226499.002	1.11594419011	-2.03429396408	2.0673888963	0.026267081434	0.00337802187664
226	Normal	blom	43	0.0	507201986.752	1.08899295399	-2.06417094008	2.07487110371	-0.00217364991893	-2.63738023223e-05
226	Normal	blom	44	1.0	935139024.272	1.15391774558	-2.013708473	2.0766951342	0.0086185377546	-0.00237751108096
226	Normal	blom	45	1.0	334057365.591	1.13950300496	-2.02265837079	2.0592439805	0.0215880600172	0.00770269108986
226	Normal	blom	46	1.0	1326468387.42	1.14966771729	-2.02105520712	2.05962513198	0.0268874446605	0.00971084820023
226	Normal	blom	47	1.0	513799996.254	1.13727665022	-2.02300821963	2.06913568136	0.0239046466082	0.000188665554918
226	Normal	blom	48	1.0	641577647.203	1.22019761989	-1.98445980582	2.06839927751	0.0236466337338	0.00176378841964
