ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,R2,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
0.9984,0.8095238095238095,0.0,16,0.32,0,0.0,0.8246211251235321,0.8239589117060457,Normal,100,10,100,5,0.998394541440899,1000,1.0,0.7740525590324385,3,0.007134450908397918,1,9950,1.0,34,0.68,log
0.9961,0.6422018348623852,0.4067796610169492,15,0.3,24,0.002412060301507538,0.6444022325288263,0.6424723821728674,Normal,100,10,100,5,0.9984910974751031,1000,0.5932203389830508,0.7423106359940523,3,0.008136724670321265,1,9926,0.9975879396984925,35,0.7,boxcox
0.9979,0.7529411764705883,0.08571428571428572,18,0.36,3,0.00030150753768844223,0.7649463099740119,0.7640102692808327,Normal,100,10,100,5,0.998193677872554,1000,0.9142857142857143,0.7261002440677069,3,0.008648579307440195,1,9947,0.9996984924623116,32,0.64,blom
0.9955,0.7096774193548387,0.0,45,0.45,0,0.0,0.7416198487095663,0.7399400733959437,Normal,100,10,100,10,0.995475113122172,1000,1.0,0.6901407827915234,1,0.0049383417967864066,1,9900,1.0,55,0.55,log
0.9948,0.6623376623376623,0.05555555555555555,49,0.49,3,0.00030303030303030303,0.6940220937885672,0.6920038991394429,Normal,100,10,100,10,0.9950733963402373,1000,0.9444444444444444,0.6754924826431643,1,0.0051717972141408115,1,9897,0.9996969696969698,51,0.51,boxcox
0.9916,0.4473684210526316,0.34615384615384615,66,0.66,18,0.0018181818181818182,0.47149516679144476,0.46784101364686226,Normal,100,10,100,10,0.9933655006031363,1000,0.6538461538461539,0.24863192178175153,1,0.011974833018892518,1,9882,0.9981818181818182,34,0.34,blom
0.9945,0.6206896551724138,0.0,55,0.55,0,0.0,0.6708203932499369,0.6689647316224497,Normal,100,10,100,10,0.994475138121547,1000,1.0,0.5371572384311194,2,0.00753763729420964,1,9900,1.0,45,0.45,log
0.9931,0.5241379310344828,0.15555555555555556,62,0.62,7,0.0007070707070707071,0.5664705542999467,0.5638524281127494,Normal,100,10,100,10,0.9937719738824711,1000,0.8444444444444444,0.4604988226647354,2,0.008786059828975222,1,9893,0.9992929292929293,38,0.38,boxcox
0.9927,0.4965517241379309,0.2,64,0.64,9,0.0009090909090909091,0.5366563145999496,0.5338203413956922,Normal,100,10,100,10,0.9935710698141638,1000,0.8,0.11255010587946856,2,0.014452587301983356,1,9891,0.9990909090909091,36,0.36,blom
0.9945,0.6206896551724138,0.0,55,0.55,0,0.0,0.6708203932499369,0.6689647316224497,Normal,100,10,100,10,0.994475138121547,1000,1.0,0.4600736198024361,3,0.008150710319770374,1,9900,1.0,45,0.45,log
