MODEL	TRANS	REP	R2	X2	X2p	X2c
Normal	blom	74	1.0	8.19804422396e+23	1.14549248609	2.05194343098
Normal	blom	75	1.0	1.07600174426e+20	1.14697059928	2.05947081491
Normal	blom	76	1.0	1.26581359438e+20	1.07130923074	2.05519078698
Normal	blom	77	1.0	2.19387326344e+23	1.12730503011	2.05212426236
Normal	blom	78	1.0	6.04035319503e+24	1.12803423516	2.05258564547
Normal	blom	79	1.0	6.2898101658e+23	1.05427930231	2.04325465758
Normal	blom	8	1.0	1.59471598171e+23	1.16770719966	2.04598349532
Normal	blom	80	1.0	1.81433199897e+23	1.10993359069	2.06179316446
Normal	blom	81	1.0	7.68272680347e+19	1.17711536748	2.04700012099
Normal	blom	82	1.0	2.11493977579e+22	1.19271677149	2.04455832158
Normal	blom	83	1.0	3.74755885745e+23	1.1067005196	2.05631438799
Normal	blom	84	1.0	1.25377886357e+23	1.03959465675	2.05701505536
Normal	blom	85	1.0	1.17527293693e+22	1.09545259527	2.05497556033
Normal	blom	86	1.0	4.27987618342e+19	1.19692518369	2.04449202898
Normal	blom	87	1.0	3.5663222309e+22	1.20281220398	2.05928153775
Normal	blom	88	1.0	3.06621036667e+23	1.08871594831	2.05326539422
Normal	blom	89	1.0	1.16771456044e+24	1.15392773185	2.05756904899
Normal	blom	9	1.0	8.65877036539e+21	1.13426644085	2.04997947035
Normal	blom	90	1.0	2.1482719857e+23	1.12848132681	2.05046267104
Normal	blom	91	1.0	1.33984571461e+23	1.09792725115	2.04902318685
Normal	blom	92	1.0	3.35991586716e+22	1.14147231928	2.0496947276
Normal	blom	93	1.0	1.01723694492e+23	1.19592030065	2.04223115261
Normal	blom	94	1.0	2.44300307726e+23	1.14745428708	2.04706233805
Normal	blom	95	1.0	1.96168588361e+23	1.15145161962	2.04712437927
Normal	blom	96	1.0	6.35171614336e+23	1.1413368476	2.05145542653
Normal	blom	97	1.0	3.73502798347e+24	1.12970589175	2.05031459172
Normal	blom	98	1.0	5.95853668354e+22	1.16206600223	2.04217143079
Normal	blom	99	1.0	2.18912683611e+23	1.11587364289	2.05148126603
Normal	boxcox	1	0.0	3.86348787967e+23	1.44665153072	2.18659028989
Normal	boxcox	10	1.0	3.85494754133e+22	1.76838991226	2.19224540134
Normal	boxcox	100	0.999999999995	2.74740337938e+22	1.63885412311	2.16773203821
Normal	boxcox	11	1.0	6.21831113256e+24	1.72737900642	2.17513529955
Normal	boxcox	12	1.0	3.01565019049e+20	1.5957909869	2.17240936672
Normal	boxcox	13	1.0	2.37767617778e+23	1.65135610953	2.18253580243
Normal	boxcox	14	1.0	2.77285193714e+25	2.09439201631	2.17806796814
Normal	boxcox	15	0.99993048747	6.440925889e+21	1.4238685097	2.17751434742
Normal	boxcox	16	1.0	1.25605266855e+26	1.9688635057	2.17606958569
Normal	boxcox	17	1.0	9.15246003758e+24	1.6478640608	2.18534018197
Normal	boxcox	18	1.0	9.59383406582e+21	1.41620736262	2.18654243151
Normal	boxcox	19	1.0	2.85310616148e+19	1.38273507942	2.16221678657
Normal	boxcox	2	0.999999999999	5.54107990188e+24	1.60439617631	2.18275711542
Normal	boxcox	20	0.995351819638	4.19722684973e+26	1.69458450859	2.1765439315
Normal	boxcox	21	1.0	8.71699837997e+22	1.58257568866	2.17342246925
Normal	boxcox	22	1.0	2.28504181338e+26	1.48565521934	2.16996826508
Normal	boxcox	23	1.0	3.72232011359e+23	1.47744811694	2.17444628238
Normal	boxcox	24	1.0	3.84649626927e+23	1.74943795314	2.18459024294
Normal	boxcox	25	0.0	6.86288617784e+24	1.63101828381	2.18135032859
