ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,7,18.78482553480512,5.0,9979,1.0,3,0.14285714285714285,blom
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,8,71.5513410901336,5.0,9979,1.0,2,0.09523809523809523,log
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,8,142.58184445318255,5.0,9979,1.0,1,0.047619047619047616,boxcox
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,8,142.58184445318255,5.0,9979,1.0,1,0.047619047619047616,blom
0.9988,0.6,0.0,12,0.5714285714285714,0,0.0,0.6546536707079771,0.6542604065531196,Normal,100,1,100,1,0.9987989190271244,1000,1.0,9,0.6471490898047824,5.0,9979,1.0,9,0.42857142857142855,log
0.9988,0.6,0.0,12,0.5714285714285714,0,0.0,0.6546536707079771,0.6542604065531196,Normal,100,1,100,1,0.9987989190271244,1000,1.0,9,0.707129357779509,5.0,9979,1.0,9,0.42857142857142855,boxcox
0.9988,0.6,0.0,12,0.5714285714285714,0,0.0,0.6546536707079771,0.6542604065531196,Normal,100,1,100,1,0.9987989190271244,1000,1.0,9,1.036627498303938,5.0,9979,1.0,9,0.42857142857142855,blom
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,10,11.922089799681695,5.0,9979,1.0,4,0.19047619047619047,log
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,10,26.92188110746407,5.0,9979,1.0,3,0.14285714285714285,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,10,45.290964036485136,5.0,9979,1.0,2,0.09523809523809523,blom
